,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
157,Lowongan Java Developer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",
158,Software Engineer (Bandung),Dropsuite,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
159,Research Senior Analyst (Mama's Choice) - Jakarta,theAsianparent,4 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Research', 'Analyst', 'Information Technology']",
160,Sales Performance Specialist,Lamudi.co.id,2 weeks ago,45 applicants,Entry level,"['Marketing and Advertising', 'Internet', 'Financial Services']",Full-time,Human Resources,201-500 employees
161,Center of Operation and Financial Excellence Senior Lead,Tokopedia,2 weeks ago,Over 200 applicants,Director,Internet,Full-time,"['Finance', 'Strategy/Planning']","1,001-5,000 employees"
162,Sales Engineer,Johnson Controls,1 month ago,118 applicants,Entry level,"['Construction', 'Information Technology and Services', 'Financial Services']",Full-time,"['Sales', 'Business Development']","10,001+ employees"
163,Senior Data Scientist,HRnetRimbun Indonesia (member of HRnetGroup),5 days ago,Be among the first 25 applicants,Associate,Human Resources,Full-time,,"1,001-5,000 employees"
164,UX Researcher - Jakarta,Payfazz (PT. Payfazz Teknologi Nusantara),4 days ago,Be among the first 25 applicants,Associate,"['Internet', 'Banking', 'Financial Services']",Full-time,Information Technology,
165,Researcher,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Research', 'Analyst', 'Information Technology']",
166,Senior Data Engineer,Flip.id,2 weeks ago,32 applicants,Associate,Financial Services,Full-time,Information Technology,51-200 employees
167,Digital Business Analyst (CX/UX),Kanmo Retail Group,4 days ago,Be among the first 25 applicants,Associate,Retail,Full-time,"['Business Development', 'Sales']",
168,Senior Executive Customer Experience,ZALORA Group,1 year ago,Over 200 applicants,Associate,"['Marketing and Advertising', 'Internet', 'Retail']",Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
169,Data Engineer,Bibit,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,
170,Data Engineer,Pt. Citra Kreasi Hutama,2 days ago,Be among the first 25 applicants,Associate,,Full-time,Consulting,
171,Risk Portfolio Senior Analyst,Citi,2 months ago,26 applicants,Not Applicable,"['Banking', 'Financial Services', 'Investment Banking']",Full-time,"['Finance', 'Sales']","10,001+ employees"
172,"Principal Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover for Work,13 hours ago,Be among the first 25 applicants,Mid-Senior level,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,"['Business Development', 'Engineering', 'Information Technology']","1,001-5,000 employees"
173,Engineering Technician - Electrical Workshop,HEINEKEN,1 week ago,31 applicants,Entry level,"['Food & Beverages', 'Food Production', 'Consumer Goods']",Full-time,"['Management', 'Manufacturing']",
174,Data Analytic Consultant Trainee (Fresh Graduate Program),Niagaprima Paramitra,4 days ago,Be among the first 25 applicants,Internship,Warehousing,Full-time,"['Business Development', 'Sales']",
175,Digital Marketing (Marketing Planner),Jetcommerce,2 weeks ago,57 applicants,Associate,"['Marketing and Advertising', 'Internet', 'Consumer Goods']",Full-time,"['Marketing', 'Sales']",
176,"Software Engineer - Angular, Upland (Remote) - $30,000/year USD",Crossover for Work,3 days ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,Engineering,"1,001-5,000 employees"
177,Data Analyst - Oval,NRI (Nomura Research Institute),1 month ago,75 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Temporary,Information Technology,"10,001+ employees"
178,Data Scientist,PT Global Urban Esensial,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
179,Data Warehouse Engineer - GoPay,Gojek,3 weeks ago,74 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
180,Lowongan Data Analyst Unit Head (IT),PT Mega Akses Persada (FiberStar),3 weeks ago,Over 200 applicants,Entry level,Telecommunications,Full-time,Information Technology,"501-1,000 employees"
181,Software Engineer Intern,Ninja Van,5 months ago,Over 200 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Internship,"['Education', 'Training']","501-1,000 employees"
182,Software Engineer - P2P Payment Platform,Xendit,2 months ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
183,Data Engineer KG Media,NRI (Nomura Research Institute),4 weeks ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Contract,Information Technology,"10,001+ employees"
184,Senior Analytics Specialist,OLX Group,4 weeks ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Human Resources', 'Financial Services']",Full-time,Other,"5,001-10,000 employees"
185,MS Engineer (L2),NTT,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']",
186,Head of Data - Jakarta,ndigital,1 week ago,Be among the first 25 applicants,Director,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Project Management', 'Information Technology']",201-500 employees
187,Senior Data Engineer,Shipper,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Internet,Full-time,Other,
188,Software Engineer - Backend (Accommodation),Traveloka,3 weeks ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
189,Mobile Engineer - Jakarta,Aruna,1 day ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
190,IT Consultant Talent Hunter Internship,MSBU,6 days ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Internship,Human Resources,
191,Data Platform DevOps Engineer,Shopee,4 months ago,133 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,Other,"5,001-10,000 employees"
192,Senior Data Analyst,ITB Career Center,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
193,Senior Software Engineer Jakarta / Semarang,Port Cities,4 days ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,,51-200 employees
194,Digital Banking Product Owner,Jobs MNC,3 months ago,54 applicants,Director,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Contract,"['Engineering', 'Information Technology']",
195,"Manager/Senior Manager, Customer Relationship Management (CRM) (Bangkok based, relocation provided)",Agoda,3 weeks ago,80 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
196,Data Engineer,Futuready.com,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
197,Data Engineer - Jakarta,PT Koltiva,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
198,Data Engineer,ITB Career Center,2 weeks ago,50 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
199,Associate Director/Director of Enterprise Solution Sales (ID),Appier,6 days ago,129 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Marketing and Advertising']",Full-time,"['Sales', 'Consulting', 'Marketing']",201-500 employees
200,Big Data Engineer,Kitabisa.com,4 days ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Nonprofit Organization Management']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
201,Infotainment Embedded System Software Engineer,General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
202,AVP - Retention Marketing,Raena,1 month ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Marketing', 'Sales']",
203,Data Analyst,Shipper,2 weeks ago,31 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,Other,
204,Data Scientist,FNA,7 days ago,63 applicants,Executive,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",11-50 employees
205,DATA ENGINEER,Refactory.id,3 weeks ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
206,Head of Data Analyst - Bandung,Agate,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Computer Games']",Full-time,Information Technology,
207,Senior iOS Engineer,HappyFresh,3 months ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
208,IT Business Analyst,PT. Asian Sigma Technology,2 weeks ago,26 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
209,Business Intelligence,Halodoc ID,3 weeks ago,27 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
210,Data Analytics,Grab,2 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Other,"5,001-10,000 employees"
211,MS Engineer (L1),NTT Ltd.,3 months ago,103 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
212,Software Engineer (SDET / Engineering Productivity),Tokopedia,2 weeks ago,52 applicants,Associate,Internet,Full-time,Information Technology,"1,001-5,000 employees"
213,Data Engineer,ITB Career Center,2 weeks ago,50 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
214,Business Intelligence - Jakarta,Halodoc ID,1 day ago,Be among the first 25 applicants,Entry level,,Full-time,"['Business Development', 'Sales']",201-500 employees
215,Project Manager (non-tech),Rata,3 weeks ago,50 applicants,Entry level,"['Marketing and Advertising', 'Retail', 'Hospital & Health Care']",Full-time,"['Project Management', 'Information Technology']",
216,Product Analyst,PT Multidaya Teknologi Nusantara,4 weeks ago,26 applicants,Associate,Management Consulting,Full-time,"['Business Development', 'Sales']",
217,Software Engineer Back End,Traveloka,4 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
218,Search Engine Optimisation Lead,Raena,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Marketing', 'Sales']",
219,Onboarding Specialist - Genie,ADVANCE.AI,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Other,"1,001-5,000 employees"
220,Procurement and Supplier Development Manager,Amazon Web Services (AWS),5 days ago,127 applicants,Mid-Senior level,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,"['Purchasing', 'Supply Chain', 'Information Technology']","10,001+ employees"
