Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
148,"Junior Analyst, Business Intelligence",Snaphunt,Posted 1 month ago,24 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
149,"Creative Business Analyst (Intern) – Hi-Tech, Property and Consumer Goods Sector","MARKPLUS, INC.",Posted 1 month ago,57 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
150,International Vendor Management Manager,Traveloka,Posted 4 months ago,367 applicants,"1,001-5,000 employees",Associate,Full-time,"['Customer Service', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
151,Data Analyst,NuWorq,Posted 1 week ago,54 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Banking', 'Financial Services']"
152,Learning & Development Process Improvement Specialist – Bangkok Based,Agoda,Posted 4 weeks ago,273 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Human Resources,Internet
153,"Manager/Senior Manager, Customer Relationship Management (CRM) (Bangkok based, relocation provided)",Agoda,Posted 2 weeks ago,90 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Internet
154,Data Analyst,Ara Savis Sejahtera PT,Posted 5 months ago,104 applicants,,Entry level,Full-time,Information Technology,"['Food Production', 'Food & Beverages']"
155,Data Analyst,Gtech Group,Posted 7 hours ago,5 applicants,,Mid-Senior level,Full-time,Information Technology,Online Media
156,Data Analyst - Depok,iGrow,Posted 2 days ago,63 applicants,,Entry level,Full-time,Information Technology,
157,Data Analyst,Kompas Gramedia,Posted 1 week ago,228 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
158,Data Analyst,Qoala,Posted 1 month ago,131 applicants,,Entry level,Full-time,Information Technology,"['Internet', 'Staffing & Recruiting', 'Insurance']"
159,IT Data Analyst Consultant,MSBU,Posted 7 hours ago,1 applicant,,,Full-time,Information Technology,Information Technology & Services
160,Data Analyst,Tjetak,Posted 1 month ago,41 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Consumer Goods']"
161,Data Analyst,PT. Astra Welab Digital Arta,Posted 3 weeks ago,96 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Banking', 'Financial Services']"
162,Data Analyst Marketplace,JD .ID (PT Ritel Bersama Nasional),Posted 1 month ago,142 applicants,,Entry level,Full-time,Information Technology,Retail
163,Data Analyst,J-Express,Posted 2 months ago,48 applicants,,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
164,Data Analyst,Quipper,Posted 5 days ago,13 applicants,,Entry level,Full-time,Information Technology,Warehousing
165,Data Analyst / Research Assistant,BFI Technologies,Posted 4 months ago,79 applicants,,,Full-time,Information Technology,Information Technology & Services
166,Data Analyst,Shipper,Posted 2 weeks ago,31 applicants,,Mid-Senior level,Full-time,Other,Logistics & Supply Chain
167,Data Analyst,Talenta Sumber Daya Manusia PT,Posted 5 months ago,60 applicants,,Entry level,Full-time,Information Technology,Consumer Services
168,Data Analyst,iGrow,Posted 5 days ago,30 applicants,,Entry level,Full-time,Information Technology,
169,Data Analyst,PT Ads Komunikasi Indonesia,Posted 1 month ago,290 applicants,,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Public Relations & Communications']"
170,Data Analyst,Ruangguru.com,Posted 1 month ago,188 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
171,Data & Business Intelligence Analyst,Erudifi,Posted 2 weeks ago,59 applicants,,Associate,Full-time,Information Technology,Financial Services
172,Data Technology and Analyst,Ralali.com,Posted 2 weeks ago,12 applicants,,Associate,Full-time,Other,Internet
173,Data Analyst,Ruangguru.com,Posted 1 month ago,171 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
174,Lowongan Data Specialist (IT Consulting),PT JAC Indonesia,Posted 4 days ago,11 applicants,,Entry level,Full-time,Information Technology,Management Consulting
175,Lowongan Data Analyst,PT Nityo Infotech,Posted 5 days ago,32 applicants,,Entry level,Full-time,Information Technology,Information Technology & Services
176,Data Scientist,PT. Prima Vista Solusi,Posted 1 month ago,36 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Research', 'Financial Services']"
177,Data Analyst and BI Reporting Officer,PT Koltiva,Posted 6 days ago,17 applicants,,Associate,Full-time,Information Technology,
178,Data Analyst,Warung Pintar,Posted 5 days ago,4 applicants,,Entry level,Full-time,Information Technology,Warehousing
179,Data Engineer - Bandung,Agate,Posted 2 weeks ago,9 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Computer Games']"
180,Data Analyst - South Jakarta,Tugu Insurance,Posted 1 month ago,2 applicants,,Entry level,Full-time,Information Technology,"['Banking', 'Insurance', 'Financial Services']"
181,Lowongan Data Analyst Staff,PT Porto Indonesia Sejahtera,Posted 1 week ago,47 applicants,,Entry level,Full-time,Information Technology,Electrical & Electronic Manufacturing
182,Lowongan Data Analyst,PT IDcommerce Service Solution,Posted 2 weeks ago,53 applicants,,Entry level,Full-time,Information Technology,Package/Freight Delivery
183,Data Analyst (Sales & Traceability),PT Koltiva,Posted 3 weeks ago,21 applicants,,Entry level,Full-time,Information Technology,
184,Data Quality Analyst,Shipper,Posted 2 weeks ago,12 applicants,,Mid-Senior level,Full-time,Other,Logistics & Supply Chain
185,Data Analyst,Ruangguru.com,Posted 1 month ago,91 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
186,Business Intelligence Analyst,99.co,Posted 1 month ago,28 applicants,,Director,Full-time,Information Technology,Real Estate
187,Data Analyst,Ruangguru.com,Posted 1 month ago,180 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
188,Data Engineer (Data Application Development Team),Jd .Id (Pt Ritel Bersama Nasional),Posted 5 days ago,1 applicant,,Entry level,Full-time,Information Technology,Warehousing
189,Data Analyst,Sinarmas Agribusiness and Food,Posted 1 month ago,127 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Research']"
190,Data Analyst Lead - PayLater,Traveloka,Posted 5 days ago,1 applicant,,Associate,Full-time,Information Technology,Hospitality
191,Big Data Analyst,Snaphunt,Posted 1 month ago,1 applicant,,Entry level,Full-time,Other,"['Computer Software', 'Internet', 'Financial Services']"
192,Data Engineer,J-Express,Posted 2 months ago,11 applicants,,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
193,Data Engineer,OrderOnline.id,Posted 1 week ago,6 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
194,Digital Analyst,The Body Shop Indonesia,Posted 1 month ago,11 applicants,,Entry level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Consumer Goods']"
195,"Data Analyst, GrabFood Bandung",Grab,Posted 2 days ago,3 applicants,,Entry level,Full-time,Information Technology,Marketing & Advertising
196,Data Engineer - Bandung,OrderOnline.id,Posted 5 days ago,8 applicants,,Entry level,Full-time,Information Technology,
197,Data Engineer (Data Application Development Team),JD .ID (PT Ritel Bersama Nasional),Posted 1 month ago,19 applicants,,Entry level,Full-time,Information Technology,Retail
198,Data Analyst,Kapanlagi Youniverse,Posted 1 month ago,55 applicants,,Associate,Full-time,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
199,Reporting & Performance Analytic Specialist,Halodoc ID,Posted 1 month ago,63 applicants,,Entry level,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
200,BUSINESS INTELLIGENCE ANALYST - Sayurbox,Sayurbox,Posted 1 week ago,88 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Consumer Goods']"
201,BI DEVELOPER,PT 360 Teknologi Indonesia,Posted 1 month ago,6 applicants,,Mid-Senior level,Full-time,"['Information Technology', 'Engineering']",Information Technology & Services
202,Digital Analyst Specialist,Sicepat Ekspres Indonesia PT,Posted 5 months ago,74 applicants,,Entry level,Full-time,Other,Logistics & Supply Chain
203,Associate Data Informatics Analyst,NTT Ltd.,Posted 1 week ago,0 applicants,,Entry level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
204,Business Analyst,Ralali,Posted 2 days ago,14 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
205,Business Analyst,NTT Ltd.,Posted 17 hours ago,4 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
206,Business Analyst,IDN Media,Posted 1 month ago,158 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Internet']"
207,Sr. Data Analyst,Alodokter,Posted 1 month ago,16 applicants,,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
208,Senior Associate Pricing Data Analysts,Lazada Group,Posted 3 weeks ago,168 applicants,,Associate,Full-time,"['Analyst', 'Sales', 'Marketing']","['Internet', 'Retail', 'Consumer Goods']"
209,Business Data Analyst,Agilon Health,Posted 5 days ago,5 applicants,,Associate,Full-time,Information Technology,Warehousing
210,Business Analyst,It Ommey Bintang Indonesia,Posted 1 week ago,10 applicants,,,Full-time,Business Development,"['Information Technology & Services', 'Computer Software', 'Internet']"
211,Operations Business Analyst,FLOW,Posted 1 month ago,175 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Internet', 'Financial Services']"
212,Business Analyst,Pt Berlian Sistem Informasi,Posted 5 days ago,2 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Human Resources
213,Head of Data Analyst - Bandung,Agate,Posted 1 month ago,3 applicants,,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Computer Games']"
214,Lowongan Senior Data Analyst,PT Mitra Andal Sejati,Posted 5 hours ago,3 applicants,,Associate,Full-time,Information Technology,"['Human Resources', 'Management Consulting']"
215,Business Analyst,Dans Multi Pro,Posted 1 day ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Warehousing
216,Business Analyst,J-Express,Posted 2 months ago,51 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
217,Lowongan Business Analyst (for AI Products),PT JAC Indonesia,Posted 4 days ago,16 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Management Consulting
218,Business Analyst,Rukita,Posted 1 month ago,195 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Internet', 'Financial Services', 'Real Estate']"
219,IT Analyst & Development,Jobs MNC,Posted 3 months ago,42 applicants,,Entry level,Contract,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
220,Business Analyst,Lacak.io,Posted 1 month ago,59 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
221,SYSTEM ANALYST,Datacell Infomedia PT,Posted 5 months ago,13 applicants,,Entry level,Full-time,Information Technology,"['Computer Hardware', 'Computer Software', 'Computer Networking']"
222,Growth & Strategy Analyst,Nimbly Technologies,Posted 1 month ago,78 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
223,Software Business Analyst,Avows Technologies,Posted 3 weeks ago,34 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
224,Business Analyst (Regulatory Reporting),PT Anabatic Digital Raya,Posted 4 weeks ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
225,Data Analyst Intern,PT Cerdas Digital Nusantara (CAKAP),Posted 3 weeks ago,194 applicants,,,Internship,Information Technology,E-learning
226,Business Analyst - Accounting,Impactfind,Posted 1 week ago,85 applicants,,Associate,Full-time,Consulting,Human Resources
227,Sales Data Analayst Staff,PT Greenfields Dairy Indonesia,Posted 1 month ago,33 applicants,,,Full-time,"['Business Development', 'Sales']",Food & Beverages
