Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
483,Data Engineer,Pt. Citra Kreasi Hutama,Posted 3 days ago,5 applicants,,Associate,Full-time,Consulting,
484,Data Engineer,Futuready.com,Posted 1 month ago,4 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
485,Data Engineer (Kasir Pintar - Surabaya),Payfazz (PT. Payfazz Teknologi Nusantara),Posted 1 month ago,3 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
486,Data Engineer (Remote),TreeDots,Posted 1 month ago,23 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
487,Data Engineer,Niagahoster,Posted 4 weeks ago,13 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
488,Data Engineer,Niagahoster,Posted 1 month ago,8 applicants,,Mid-Senior level,Full-time,Information Technology,Information Technology & Services
489,Data Engineer,PT Astra Graphia Information Technology,Posted 1 month ago,25 applicants,,Entry level,Full-time,Information Technology,Information Technology & Services
490,Data Scientist Lead,SayurBox,Posted 1 month ago,9 applicants,,Associate,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
491,Data Engineer,Accelbyte,Posted 4 days ago,0 applicants,,Entry level,Full-time,Information Technology,Warehousing
492,CVM Data Scientist,Monroe Consulting Group,Posted 2 days ago,1 applicant,,Entry level,Full-time,"['Engineering', 'Information Technology']",Marketing & Advertising
493,Data Engineer,Youtap Indonesia,Posted 1 month ago,4 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
